KeywordId	GenreType	GenreName	KeywordName
1	Place	장소	학교
2	Place	장소	병원
3	Place	장소	공항
4	Place	장소	도서관
5	Place	장소	영화관
6	Place	장소	놀이공원
7	Place	장소	해수욕장
8	Place	장소	캠핑장
9	Place	장소	축구장
10	Place	장소	스키장
11	Place	장소	은행
12	Place	장소	경찰서
13	Place	장소	소방서
14	Place	장소	우체국
15	Place	장소	교회
16	Place	장소	절
17	Place	장소	시장
18	Place	장소	백화점
19	Place	장소	수영장
20	Place	장소	동물원
21	Job	직업	의사
22	Job	직업	요리사
23	Job	직업	경찰관
24	Job	직업	소방관
25	Job	직업	교사
26	Job	직업	농부
27	Job	직업	미용사
28	Job	직업	목수
29	Job	직업	과학자
30	Job	직업	가수
31	Job	직업	변호사
32	Job	직업	회계사
33	Job	직업	간호사
34	Job	직업	배우
35	Job	직업	화가
36	Job	직업	작가
37	Job	직업	운동선수
38	Job	직업	디자이너
39	Job	직업	파일럿
40	Job	직업	판사
41	Sport	스포츠	축구
42	Sport	스포츠	야구
43	Sport	스포츠	농구
44	Sport	스포츠	배구
45	Sport	스포츠	테니스
46	Sport	스포츠	수영
47	Sport	스포츠	복싱
48	Sport	스포츠	양궁
49	Sport	스포츠	펜싱
50	Sport	스포츠	스키
51	Sport	스포츠	골프
52	Sport	스포츠	탁구
53	Sport	스포츠	배드민턴
54	Sport	스포츠	유도
55	Sport	스포츠	태권도
56	Sport	스포츠	볼링
57	Sport	스포츠	핸드볼
58	Sport	스포츠	럭비
59	Sport	스포츠	크리켓
60	Sport	스포츠	스노보드
61	Animal	동물	강아지
62	Animal	동물	고양이
63	Animal	동물	토끼
64	Animal	동물	판다
65	Animal	동물	원숭이
66	Animal	동물	다람쥐
67	Animal	동물	펭귄
68	Animal	동물	벌
69	Animal	동물	소
70	Animal	동물	닭
71	Animal	동물	사자
72	Animal	동물	호랑이
73	Animal	동물	코끼리
74	Animal	동물	기린
75	Animal	동물	얼룩말
76	Animal	동물	늑대
77	Animal	동물	여우
78	Animal	동물	곰
79	Animal	동물	사슴
80	Animal	동물	낙타
81	Movie	영화	기생충
82	Movie	영화	타이타닉
83	Movie	영화	해리 포터
84	Movie	영화	겨울왕국
85	Movie	영화	토이 스토리
86	Movie	영화	쥬라기 공원
87	Movie	영화	어벤져스
88	Movie	영화	나 홀로 집에
89	Movie	영화	부산행
90	Movie	영화	센과 치히로의 행방불명
91	Movie	영화	인터스텔라
92	Movie	영화	매트릭스
93	Movie	영화	극한직업
94	Movie	영화	라라랜드
95	Movie	영화	알라딘
96	Movie	영화	아이언맨
97	Movie	영화	스파이더맨
98	Movie	영화	미니언즈
99	Movie	영화	코코
100	Movie	영화	반지의 제왕
101	Game	게임	마인크래프트
102	Game	게임	리그 오브 레전드
103	Game	게임	배틀그라운드
104	Game	게임	오버워치
105	Game	게임	포켓몬스터
106	Game	게임	슈퍼 마리오
107	Game	게임	젤다의 전설
108	Game	게임	동물의 숲
109	Game	게임	스타크래프트
110	Game	게임	테트리스
111	Game	게임	어몽어스
112	Game	게임	피파
113	Game	게임	쿠키런
114	Game	게임	메이플스토리
115	Game	게임	카트라이더
116	Game	게임	디아블로
117	Game	게임	스트리트파이터
118	Game	게임	철권
119	Game	게임	애니팡
120	Game	게임	클래시 오브 클랜
121	Vehicle	교통수단	자동차
122	Vehicle	교통수단	버스
123	Vehicle	교통수단	지하철
124	Vehicle	교통수단	자전거
